,Player,Pos,Age,Tm,G,GS,MP,PTS,TS%,FTM,FTA,FT%,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,OREB,OREB%,DREB,DREB%,TREB,TREB%,AST,AST%,STL,STL%,BLK,BLK%,TOV,TOV%,USG%,OFFWS,DEFWS,WS,WS/48,BPM,VORP,eFG%,PF
634,Chris McCullough\mcculch01,PF,22,WAS,19,0,90,46,0.478,9,14,0.643,18,42,0.429,1,8,0.125,17,34,0.5,7,8.8,18,22.6,25,15.7,4,7.1,0,0.0,5,4.9,2,4.0,24.6,0.1,0.1,0.2,0.081,-5.7,-0.1,0.44,8
635,Doug McDermott\mcderdo01,SF,26,TOT,81,4,1768,630,0.579,64,81,0.79,237,508,0.467,92,216,0.426,145,292,0.49700000000000005,40,2.5,160,10.2,200,6.3,79,6.5,19,0.5,16,0.8,56,9.3,15.0,1.7,0.6,2.3,0.063,-2.4,-0.2,0.557,122
636,Doug McDermott\mcderdo01,SF,26,TOT,81,1,1768,395,0.579,40,53,0.755,151,328,0.46,53,137,0.387,98,191,0.513,33,2.5,101,10.2,134,6.3,50,6.5,10,0.5,12,0.8,34,9.3,15.0,1.7,0.6,2.3,0.063,-2.4,-0.2,0.541,73
637,Doug McDermott\mcderdo01,SF,26,TOT,81,3,1768,235,0.579,24,28,0.857,86,180,0.478,39,79,0.494,47,101,0.465,7,2.5,59,10.2,66,6.3,29,6.5,9,0.5,4,0.8,22,9.3,15.0,1.7,0.6,2.3,0.063,-2.4,-0.2,0.586,49
638,Doug McDermott\mcderdo01,SF,26,NYK,55,4,1172,630,0.562,64,81,0.79,237,508,0.467,92,216,0.426,145,292,0.49700000000000005,40,3.1,160,9.5,200,6.3,79,6.0,19,0.4,16,0.9,56,8.8,14.4,1.1,0.3,1.3,0.055,-2.5,-0.1,0.557,122
639,Doug McDermott\mcderdo01,SF,26,NYK,55,1,1172,395,0.562,40,53,0.755,151,328,0.46,53,137,0.387,98,191,0.513,33,3.1,101,9.5,134,6.3,50,6.0,10,0.4,12,0.9,34,8.8,14.4,1.1,0.3,1.3,0.055,-2.5,-0.1,0.541,73
640,Doug McDermott\mcderdo01,SF,26,NYK,55,3,1172,235,0.562,24,28,0.857,86,180,0.478,39,79,0.494,47,101,0.465,7,3.1,59,9.5,66,6.3,29,6.0,9,0.4,4,0.9,22,8.8,14.4,1.1,0.3,1.3,0.055,-2.5,-0.1,0.586,49
641,Doug McDermott\mcderdo01,SF,26,DAL,26,4,596,630,0.611,64,81,0.79,237,508,0.467,92,216,0.426,145,292,0.49700000000000005,40,1.3,160,11.4,200,6.1,79,7.5,19,0.8,16,0.6,56,10.3,16.3,0.6,0.3,1.0,0.077,-2.2,0.0,0.557,122
642,Doug McDermott\mcderdo01,SF,26,DAL,26,1,596,395,0.611,40,53,0.755,151,328,0.46,53,137,0.387,98,191,0.513,33,1.3,101,11.4,134,6.1,50,7.5,10,0.8,12,0.6,34,10.3,16.3,0.6,0.3,1.0,0.077,-2.2,0.0,0.541,73
643,Doug McDermott\mcderdo01,SF,26,DAL,26,3,596,235,0.611,24,28,0.857,86,180,0.478,39,79,0.494,47,101,0.465,7,1.3,59,11.4,66,6.1,29,7.5,9,0.8,4,0.6,22,10.3,16.3,0.6,0.3,1.0,0.077,-2.2,0.0,0.586,49
